reason,title,text_length,directory,csv,row,lp_url
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\0bbccedbda65,adradar_2026-07-14.csv,127,https://www.discovaz.com/dsr?q=read+more+about+digital+display+screens&de=mobile&arq=digital+display+screens&pub={placement}&rac=read+more+about+digital+display+screens+digital+display+screens+get+insight+on+digital+display+screens&asid=a1_ch3618&terms=digital+display+screens&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\0bc9fbdc269b,adradar_2026-07-14.csv,75,https://www.discovaz.com/dsr?q=allgemeine%20informationen%20von%20custom%20build%20software&arq=benutzerdefinierte+build+software&pub={placement}&rac=allgemeine+informationen+von+custom+build+software+beginnen+sie+uber+benutzerdefinierte+build+software+zu+lernen+benutzerdefinierte+build+software&asid=a1_ch8122&terms=&locale=de_DE&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\0e66a8886362,adradar_2026-07-14.csv,89,https://www.discovaz.com/dsr?q=erfahre%20mehr%20uber%20e%20mail%20marketing%20fur%20neukunden&arq=e+mail+marketing+fur+neukunden&pub={placement}&rac=erfahre+mehr+uber+e+mail+marketing+fur+neukunden+beginnen+sie+etwas+uber+e+mail+marketing+fur+neukunden+zu+lernen+e+mail+marketing+fur+neukunden&asid=a1_ch7917&terms=e+mail+marketing+fur+neukunden&locale=de_DE&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\0e8d35c9442c,adradar_2026-07-14.csv,32,https://www.discovaz.com/dsr?q=how%20to%20start%20working%20as%20a%20security%20guard&arq=security+guard+job&pub={placement}&rac=how+to+start+working+as+a+security+guard+read+more+info+about+security+guard+job+security+guard+job&asid=a1_ch6803&terms=&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\0f0e84cd7ed8,adradar_2026-07-14.csv,44,https://www.discovaz.com/dsr?q=learn%20broadly%20on%20custom%20build%20software&arq=custom+build+software&pub={placement}&rac=learn+broadly+on+custom+build+software+start+learning+about+custom+build+software+custom+build+software&asid=a1_ch10580&terms=custom+build+software&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\10dc5ab1614d,adradar_2026-07-14.csv,152,https://www.discovaz.com/dsr?q=read+more+about+innovative+packaging&de=mobile&arq=innovative+packaging&pub={placement}&rac=read+more+about+innovative+packaging+start+learning+about+innovative+packaging+innovative+packaging&asid=a1_ch3966&terms=&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\11116ccc9738,adradar_2026-07-14.csv,116,https://www.discovaz.com/dsr?q=learn%20broadly%20about%20ai%20automation&arq=ai+automation&pub={placement}&rac=learn+broadly+about+ai+automation+ai+automation&asid=a1_ch7519&terms=ai+automation&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\143bb85c4cce,adradar_2026-07-14.csv,103,https://www.discovaz.com/dsr?q=entdecken%20sie%20weitere%20informationen%20uber%20bau%20software&arq=bau+software&pub={placement}&rac=entdecken+sie+weitere+informationen+uber+bau+software+entdecken+sie+weitere+informationen+uber+bau+software+bau+software&asid=a1_ch7074&terms=&locale=de_DE&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\17b22d20b91b,adradar_2026-07-14.csv,45,https://www.discovaz.com/dsr?q=learn%20broadly%20on%20custom%20build%20software&arq=custom+build+software&pub={placement}&rac=learn+broadly+on+custom+build+software+want+to+build+the+room+of+your+dreams+it+might+be+possible+with+custom+build+software+interested+learn+how+on+the+website+start+learning+about+custom+build+software+custom+build+software&asid=a1_ch10590&terms=&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\17d5fcfc504f,adradar_2026-07-14.csv,100,https://www.discovaz.com/dsr?q=lessen%20sie%20mehr%20uber%20energiemanagement&arq=energiemanagement&pub={placement}&rac=lessen+sie+mehr+uber+energiemanagement+beginnen+sie+mehr+uber+energiemanagement+zu+lernen+energiemanagement&asid=a1_ch10292&terms=energiemanagement&locale=de_DE&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\184fcf7a5068,adradar_2026-07-14.csv,108,https://www.discovaz.com/dsr?q=allgemeines%20wissen%20uber%20das%20verpackungsunternehmen&arq=das+verpackungsunternehmen&pub={placement}&rac=allgemeines+wissen+uber+das+verpackungsunternehmen+allgemeines+wissen+uber+das+verpackungsunternehmen+das+verpackungsunternehmen&asid=a1_ch7102&terms=&locale=de_DE&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\1aa58ebb93f5,adradar_2026-07-14.csv,80,https://www.discovaz.com/dsr?q=learn%20broadly%20about%20of%20energy%20management%20tools&arq=energy+management+tools&pub={placement}&rac=learn+broadly+about+of+energy+management+tools+start+learning+about+energy+management+tools+energy+management+tools&asid=a1_ch7894&terms=&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\1c45aa8489ff,adradar_2026-07-14.csv,14,https://www.discovaz.com/dsr?q=how+create+design+using+construction+software&de=mobile&arq=create+your+design+using+construction+software&pub={placement}&rac=how+create+design+using+construction+software+start+learning+about+create+your+design+using+construction+software+create+your+design+using+construction+software&asid=a1_ch5634&terms=create+your+design+using+construction+software&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\22306483d30b,adradar_2026-07-14.csv,42,https://www.discovaz.com/dsr?q=learn%20broadly%20on%20car%20detailing%20services%20&arq=car+detailing+services&pub={placement}&rac=learn+broadly+on+car+detailing+services+start+learning+about+car+detailing+services+car+detailing+services&asid=a1_ch10575&terms=&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\2b48bcec21e0,adradar_2026-07-14.csv,137,https://www.discovaz.com/dsr?q=learn%20broadly%20about%20ai%20automation&arq=ai+automation&pub={placement}&rac=learn+broadly+about+ai+automation+ai+automation&asid=a1_ch7844&terms=ai+automation&locale=en_US&ad_id={creative}
access_denied_or_no_article_content,Discovaz access denied,148,scraped_output\www.discovaz.com\2c62760bb8d5,adradar_2026-07-14.csv,97,https://www.discovaz.com/dsr?q=medizinische%20software%202026%20entdecken&arq=medizinische+software+2026&pub={placement}&rac=medizinische+software+2026+entdecken+lesen+sie+mehr+uber+medizinische+software+2026+medizinische+software+2026&asid=a1_ch6999&terms=&locale=de_DE&ad_id={creative}
